country,year,local_price,dollar_price,hourly_wage_usd,bigmacs_per_hour
Canada,2014,5.54,5.54,9.58231483892449,1.7296597182174167
Chile,2014,2000.0,3.7,3.06149054749886,0.8274298777023946
Colombia,2014,8600.0,4.34,2.70010698259603,0.6221444660359516
Costa Rica,2014,2150.0,4.29,3.46437060090216,0.8075455946158882
Estonia,2014,2.8,2.8,4.28260404432767,1.5295014444027393
France,2014,3.8,3.8,13.5982492791249,3.5784866524012897
Greece,2014,3.05,3.05,5.68045618968289,1.8624446523550462
Hungary,2014,860.0,3.86,4.26863001078588,1.1058626970947876
Ireland,2014,3.46,3.46,9.2466596688281,2.67244499099078
Israel,2014,17.5,5.83,5.96650492967173,1.0234142246435214
Japan,2014,310.0,2.98,7.30179607896496,2.4502671405922687
Lithuania,2014,8.8,4.4,3.89141018115735,0.8844114048084886
Mexico,2014,37.0,2.85,1.00197145606553,0.3515689319528175
Netherlands,2014,3.45,3.45,12.5818525657565,3.646913787175797
New Zealand,2014,5.5,5.5,10.6586944612248,1.9379444474954182
Poland,2014,9.2,3.07,6.11213635118702,1.990923892894795
Portugal,2014,3.0,3.0,5.75735050905774,1.91911683635258
Spain,2014,3.65,3.65,8.46630896452136,2.319536702608592
United States,2014,4.24,4.24,8.96250106482811,2.113797420950026
Australia,2014,5.1,5.1,13.0154933909223,2.5520575276318236
Belgium,2014,3.7,3.7,12.9352356160092,3.496009625948432
Brazil,2014,13.0,6.5,2.1575031657351,0.33192356395924616
Canada,2014,5.64,5.64,9.58231483892449,1.6989919927171082
Chile,2014,2100.0,3.72,3.06149054749886,0.8229813299728118
Colombia,2014,8600.0,4.66,2.70010698259603,0.5794220992695344
Costa Rica,2014,2150.0,4.0,3.46437060090216,0.86609265022554
Estonia,2014,2.9,2.9,4.28260404432767,1.4767600152854035
France,2014,3.9,3.9,13.5982492791249,3.486730584391
Greece,2014,3.05,3.05,5.68045618968289,1.8624446523550462
Hungary,2014,860.0,3.77,4.26863001078588,1.132262602330472
Ireland,2014,3.49,3.49,9.2466596688281,2.6494726844779652
Israel,2014,17.5,5.83,5.96650492967173,1.0234142246435214
Japan,2014,370.0,3.66,7.30179607896496,1.9950262510833223
Lithuania,2014,8.95,4.47,3.89141018115735,0.8705615617801679
Mexico,2014,42.0,3.5,1.00197145606553,0.2862775588758657
Netherlands,2014,3.45,3.45,12.5818525657565,3.646913787175797
New Zealand,2014,5.7,5.7,10.6586944612248,1.8699463967061052
Poland,2014,9.2,3.07,6.11213635118702,1.990923892894795
Portugal,2014,3.0,3.0,5.75735050905774,1.91911683635258
Spain,2014,3.65,3.65,8.46630896452136,2.319536702608592
United States,2014,4.29,4.29,8.96250106482811,2.0891610873725197
Australia,2015,5.3,5.3,13.1769726004659,2.4862212453709245
